city_id,nation_id,state_id,name,abbreviation,latitude,longitude,population,main_language_id
19512,176,2714,"Durban","DUR",-29.8700,30.9900,3120282,0
11346,176,2715,"Brakpan","BRA",-26.2900,28.3700,305692,0
35548,176,2715,"Johannesburg","JOH",-26.1900,28.0400,2026469,0
60920,176,2715,"Pretoria","PRE",-25.7300,28.2200,1619438,0
58913,176,2721,"Pietersburg","PIE",-23.8900,29.4500,123749,0
36236,1,1,"Kabul","KAB",34.5300,69.1700,3043532,0
36868,43,2916,"Kangshan","KAN",22.8000,120.2700,97100,0
36950,43,2916,"Kaohsiung","KAO",22.6300,120.2700,1512833,0
78025,43,2917,"Taichung","TAI",24.1500,120.6800,1083582,0
13169,43,2923,"Chiayi","CHI",23.4800,120.4300,266316,0
78051,43,2928,"Taitung","TAI",22.7600,121.1400,109351,0
78389,79,1311,"Tamuning","TAM",13.4800,144.7800,11254,0
33163,90,1442,"Hyderabad","HYD",17.4000,78.4800,3597816,0
77661,98,1633,"Tokyo","TOK",35.6700,139.7700,8336599,0
88034,98,1634,"Yokohama","YOK",35.4700,139.6200,3574443,0
88035,98,1634,"Yokosuka","YOK",35.2700,139.6700,428992,0
58281,98,1635,"Osaka","OSA",34.6800,135.5000,2592413,0
35970,98,1636,"Konan","KON",35.3400,136.8600,100389,0
37354,98,1636,"Kasugai","KAS",35.2400,136.9800,298589,0
35966,98,1638,"Kobe","KOB",34.6800,135.1700,1528478,0
55703,98,1638,"Nishinomiya","NIS",34.7300,135.3400,468925,0
40713,98,1639,"Kyoto","KYO",35.0100,135.7500,1459640,0
32017,98,1641,"Hiroshima","HIR",34.3900,132.4400,1143841,0
13173,98,1644,"Chiba","CHI",35.6100,140.1100,919729,0
40396,98,1645,"Kumamoto","KUM",32.8000,130.7100,680423,0
36355,98,1648,"Kagoshima","KAG",31.5900,130.5600,555352,0
92896,98,1648,"Osaki","OSA",31.4422,130.9775,13488,0
53822,98,1654,"Nagasaki","NAG",32.7500,129.8800,410204,0
54199,98,1657,"Nara","NAR",34.6900,135.8300,367353,0
35967,98,1660,"Kochi","KOC",33.5600,133.5400,335570,0
50804,98,1664,"Miyakonojo","MIY",31.7200,131.0600,130994,0
33657,98,1665,"Ishikawa","ISH",26.4200,127.8300,22412,0
53887,98,1665,"Naha","NAH",26.2100,127.7000,300795,0
57031,98,1665,"Okinawa","OKI",26.3400,127.7900,125483,0
80426,98,1671,"Tokushima","TOK",34.0700,134.5500,267345,0
58303,98,1674,"Oarai","OAR",36.3200,140.5700,19326,0
57971,98,1676,"Otsuki","OTS",35.6200,138.9300,31226,0
88229,98,1676,"Yamanashi","YAM",35.6800,138.6500,32791,0
74222,169,2670,"Singapore","SIN",1.3000,103.8500,3547809,0
67203,177,2722,"Seoul","SEO",37.5600,126.9900,10251297,0
61569,177,2723,"Busan","BUS",35.1100,129.0300,3548640,0
34437,177,2724,"Incheon","INC",37.4800,126.6400,2808286,0
77909,177,2726,"Daejeon","DAE",36.3300,127.4300,1518651,0
40704,177,2727,"Gwangju","GWA",35.1600,126.9100,1466516,0
82823,177,2728,"Uiwang","UIW",37.3500,126.9800,150379,0
18403,177,2730,"Jeonju","JEO",35.8300,127.1400,647504,0
47715,194,1125,"Manila","MAN",14.6200,120.9700,10444527,0
60791,51,884,"Prague","PRA",50.0800,14.4300,1154508,0
9986,51,885,"Blansko","BLA",49.3400,16.7600,20643,0
42087,51,892,"Louny","LOU",50.3500,13.7900,19720,0
8073,61,1051,"Bedford","BED",52.1500,-0.4900,86658,0
31418,61,1051,"Henley-on-Thames","HEN",51.5300,-0.9000,10747,0
31474,61,1051,"Hereford","HER",52.0600,-2.7300,58281,0
33161,61,1051,"Hyde","HYD",53.4500,-2.0800,31926,0
33817,61,1051,"Ipswich","IPS",52.0700,1.1400,143767,0
41623,61,1051,"Lowestoft","LOW",52.4900,1.7200,71479,0
41733,61,1051,"London","LON",51.5200,-0.1000,7421209,0
43311,61,1051,"Lakenheath","LAK",52.4300,0.5700,8590,0
45568,61,1051,"Lincoln","LIN",53.2500,-0.5500,89228,0
45882,61,1051,"Liverpool","LIV",53.4200,-2.9900,468945,0
56248,61,1051,"Northampton","NOR",52.2400,-0.9000,197322,0
57143,61,1051,"Oldham","OLD",53.5500,-2.1200,104782,0
66731,61,1051,"Ripon","RIP",54.1200,-1.5200,16835,0
73372,61,1051,"Sheffield","SHE",53.3900,-1.4800,447047,0
81254,61,1051,"Trowbridge","TRO",51.3200,-2.2200,36922,0
85768,61,1051,"Wymondham","WYM",52.7500,-0.7300,11674,0
86553,61,1051,"Worcester","WOR",52.2000,-2.2400,100023,0
87786,61,1051,"Warrington","WAR",53.3900,-2.6000,81238,0
62877,70,1161,"Paris","PAR",48.8600,2.3400,2138551,0
8808,74,1215,"Berlin","BER",52.5200,13.3800,3398362,0
5825,74,1217,"Bad Kissingen","BAD",50.2100,10.0800,21527,0
52569,74,1217,"Munich","MUN",48.1400,11.5800,1246133,0
54810,74,1217,"Neu-Ulm","NEU",48.4000,10.0100,51654,0
65139,74,1217,"Regensburg","REG",49.0200,12.1100,129643,0
21317,74,1218,"Dormagen","DOR",51.0800,6.8400,64129,0
61977,74,1218,"Paderborn","PAD",51.7200,8.7400,143096,0
74923,74,1218,"Solingen","SOL",51.1800,7.0600,165192,0
5877,74,1219,"Bad Schwalbach","BAD",50.1400,8.0600,11259,0
12895,74,1219,"Butzbach","BUT",50.4400,8.6600,25804,0
24963,74,1219,"Frankfurt","FRA",50.1200,8.6800,648034,0
48064,74,1219,"Marburg","MAR",50.8000,8.7700,79300,0
87177,74,1219,"Wiesbaden","WIE",50.0800,8.2300,272337,0
5903,74,1220,"Bad Wurzach","BAD",47.9100,9.9000,14288,0
31245,74,1220,"Heidelberg","HEI",49.4200,8.6900,144703,0
76574,74,1220,"Stuttgart","STU",48.7900,9.1900,591687,0
44692,74,1223,"Leipzig","LEI",51.3500,12.4000,492636,0
85674,74,1227,"Weimar","WEI",50.9900,11.3200,65112,0
39131,74,1228,"Koblenz","KOB",50.3500,7.6000,108146,0
43590,74,1228,"Landstuhl","LAN",49.4200,7.5700,9135,0
28094,85,971,"Gemert-Bakel","GEM",51.5600,5.7000,27866,0
3319,95,1583,"Anzio","ANZ",41.4600,12.6200,41630,0
57156,95,1586,"Oleggio","OLE",45.6100,8.6300,13097,0
28162,95,1588,"Genoa","GEN",44.4200,8.9300,585817,0
70613,95,1588,"San Remo","SAN",43.8300,7.7700,49053,0
85135,95,1592,"Verona","VER",45.4400,10.9900,247083,0
89455,95,1592,"Zevio","ZEV",45.3700,11.1300,13318,0
29117,95,1593,"Gorizia","GOR",45.9400,13.6200,34602,0
17922,95,1594,"Catanzaro","CAT",38.9000,16.6000,91584,0
83144,111,1856,"Vilnius","VIL",54.7000,25.2700,542366,0
90104,141,2304,"Sarpsborg","SAR",59.1700,11.1200,52159,0
41559,149,2426,"Lublin","LUB",51.2400,22.5700,360044,0
19826,153,1548,"Dublin","DUB",53.3300,-6.2500,1024027,0
15082,153,1549,"Cork","COR",51.9000,-8.4700,188907,0
45490,153,1550,"Limerick","LIM",52.6700,-8.6300,90054,0
27598,153,1551,"Galway","GAL",53.2800,-9.0600,70686,0
29457,153,1569,"Granard","GRA",53.7700,-7.5000,1292,0
69138,156,2512,"St. Petersburg","SAI",59.9300,30.3200,4039745,0
36713,156,2540,"Kamenka","KAM",53.1900,44.0400,40972,0
1944,164,2654,"Aberdeen","ABE",57.1500,-2.1000,183790,0
19604,164,2654,"Dundee","DUN",56.4700,-3.0000,151592,0
28654,164,2654,"Glasgow","GLA",55.8700,-4.2700,610268,0
46575,178,2738,"Madrid","MAD",40.4200,-3.7100,3102630,0
88758,178,2742,"Zaragoza","ZAR",41.6500,-0.8900,635504,0
58147,178,2751,"Oviedo","OVI",43.3500,-5.8300,198250,0
76292,185,2849,"Stockholm","STO",59.3300,18.0700,1253309,0
37198,185,2868,"Karlskrona","KAR",56.1800,15.5900,32309,0
67054,212,3270,"Rhuddlan","RHU",53.2800,-3.4700,3837,0
77222,212,3270,"Swansea","SWA",51.6300,-3.9600,170883,0
57516,11,240,"Oranjestad","ORA",12.5300,-70.0300,29998,0
91033,11,240,"Noord","NOO",12.5667,-70.0333,16944,0
91034,11,240,"Paradera","PAR",12.5376,-70.0024,9037,0
91035,11,240,"Santa Cruz","SAN",12.5000,-69.9667,12326,0
91036,11,240,"Savaneta","SAV",12.4417,-69.9333,9996,0
91037,11,240,"Solito","SOL",12.5304,-70.0284,660,0
54308,15,332,"Nassau","NAS",25.0600,-77.3300,227940,0
1787,36,678,"Almonte","ALM",45.2200,-76.2000,4921,0
2693,36,678,"Amherstburg","AMH",42.1000,-83.1000,11459,0
8364,36,678,"Belleville","BLV",44.1700,-77.3800,48821,0
8414,36,678,"Belmont","BEL",42.8800,-81.0600,1921,0
11290,36,678,"Bradford","BRA",44.1200,-79.5600,18811,0
11398,36,678,"Brantford","BRF",43.1500,-80.2600,90192,0
11822,36,678,"Brockville","BRO",44.6100,-75.7000,23886,0
26848,36,678,"Guelph","GPH",43.5600,-80.2600,114943,0
28842,36,678,"Goderich","GOD",43.7300,-81.7000,8032,0
30488,36,678,"Hamilton","HAM",43.2600,-79.8500,504559,0
33066,36,678,"Huntsville","HUN",45.3200,-79.2200,7972,0
37004,36,678,"Kapuskasing","KAP",49.4300,-82.4200,9240,0
38900,36,678,"Kitchener","KIT",43.4600,-80.5000,204668,0
41732,36,678,"London","LON",42.9700,-81.2400,352395,0
44515,36,678,"Leamington","LEA",42.0600,-82.6000,30428,0
