team_id,player_id,list_id
1,22858,1
1,32,2
1,32,3
1,16512,4
1,32,1
1,16498,2
1,1077,3
1,1077,1
1,17099,2
1,11834,3
1,2366,1
1,17045,2
1,15830,3
1,21196,1
1,17243,2
1,16168,3
1,11834,1
1,16450,2
1,16199,3
1,17045,1
1,16667,2
1,16512,3
1,16108,1
1,16734,2
1,16427,3
1,15830,1
1,17126,2
1,16450,3
1,15795,1
1,15830,2
1,16498,3
1,17434,1
1,16874,2
1,17045,3
1,16168,1
1,17105,2
1,16576,3
1,16199,1
1,16199,2
1,16667,3
1,17771,1
1,16427,2
1,16108,3
1,16427,1
1,17047,2
1,16734,3
1,16450,1
1,16840,2
1,16840,3
1,16498,1
1,1077,2
1,16874,3
1,16512,1
1,16576,2
1,17024,3
1,16866,1
1,17024,2
1,17047,3
1,16576,1
1,11834,2
1,17099,3
1,16667,1
1,16108,2
1,17105,3
1,16907,1
1,15795,2
1,17126,3
1,16734,1
1,17434,2
1,15795,3
1,16840,1
1,17771,2
1,17243,3
1,16938,1
1,16168,2
1,17434,3
1,16874,1
1,22858,2
1,17024,1
1,2366,2
1,2366,3
1,17544,1
1,21196,2
1,21196,3
1,17047,1
1,16866,2
1,17771,3
1,17099,1
1,16907,2
1,16866,3
1,17105,1
1,16938,2
1,16907,3
1,17126,1
1,16517,2
1,16938,3
1,16517,1
1,16999,2
1,16517,3
1,17243,1
1,17685,2
1,17685,3
1,16999,1
1,17482,2
1,17482,3
1,17685,1
1,20,2
1,20,3
1,17482,1
1,16837,2
1,16999,3
1,20,1
1,16837,3
1,16837,1
2,16975,1
2,879,2
2,879,3
2,16538,4
2,879,1
2,16361,2
2,10552,3
2,15669,4
2,10552,1
2,17251,2
2,16975,3
2,15609,4
2,15888,1
2,16663,2
2,11331,3
2,16202,4
2,16538,1
2,16975,2
2,15888,3
2,11331,1
2,17007,2
2,15806,3
2,17286,1
2,15888,2
2,15895,3
2,15669,1
2,16477,2
2,15897,3
2,15806,1
2,17109,2
2,17286,3
2,15609,1
2,17286,2
2,16459,3
2,15895,1
2,16459,2
2,16195,3
2,15897,1
2,16664,2
2,16298,3
2,16459,1
2,15897,2
2,16361,3
2,17076,1
2,16298,2
2,16379,3
2,16202,1
2,15895,2
2,17614,3
2,16905,1
2,16623,2
2,16477,3
2,16195,1
2,15806,2
2,16566,3
2,17023,1
2,16566,2
2,16623,3
2,16298,1
2,16811,2
2,16663,3
2,16361,1
2,17076,2
2,16664,3
2,16379,1
2,16195,2
2,16811,3
2,17614,1
2,10552,2
2,17076,3
2,16477,1
2,11331,2
2,17007,3
2,17577,1
2,16379,2
2,17109,3
2,16566,1
2,17614,2
2,17251,3
2,16623,1
2,16905,2
2,17577,3
2,16663,1
2,17577,2
2,16905,3
2,16664,1
2,17023,2
2,17023,3
2,16811,1
2,17330,2
2,17330,3
2,17330,1
2,20872,2
2,20872,3
2,20872,1
2,17520,2
2,17520,3
2,17520,1
2,17469,2
2,17469,3
2,17469,1
2,22290,2
2,22290,3
2,17007,1
2,20315,2
2,20315,3
2,22290,1
2,20315,1
2,17109,1
2,17251,1
3,26,1
3,17293,2
3,26,3
3,3856,1
3,15563,2
3,3856,3
3,7594,1
3,15928,2
3,7594,3
3,10475,1
3,17426,2
3,11086,3
3,11086,1
3,17621,2
3,15563,3
3,15563,1
3,15908,2
3,15878,3
3,17523,1
3,15878,2
3,15908,3
3,15878,1
3,26,2
3,15913,3
3,15908,1
3,17409,2
3,15928,3
3,15913,1
3,16469,2
3,17523,3
3,15928,1
3,17523,2
3,16469,3
3,17536,1
3,16543,2
3,16525,3
3,16775,1
3,7594,2
3,16543,3
3,17337,1
3,11086,2
3,16731,3
3,20973,1
3,16732,2
3,16732,3
3,16469,1
3,16525,2
3,17057,3
3,16525,1
3,17057,2
3,17132,3
3,16543,1
3,15913,2
3,17253,3
3,16731,1
3,17132,2
3,17293,3
3,16732,1
3,16731,2
3,17409,3
3,17740,1
3,17536,2
3,17426,3
3,17696,1
3,17253,2
3,17621,3
3,17057,1
3,3856,2
3,17536,3
3,17132,1
3,16775,2
3,16775,3
3,17253,1
3,17337,2
3,17337,3
3,17338,1
3,10475,2
3,10475,3
3,17293,1
3,20973,2
3,20973,3
3,21806,1
3,17740,2
3,17740,3
3,17269,1
3,17696,2
3,17696,3
3,17409,1
3,17338,2
3,17338,3
3,17426,1
3,21806,2
3,21806,3
3,22047,1
